,device,bat_capacity,current_cost,battery_cost
8,DD24108747526,18,-518.619943743009,-747.0416631445686
9,DD24108747526,20,-518.619943743009,-745.1878170145367
0,DD34108397148,2,-1436.96489696399,-16.096997391184757
1,DD34108397148,4,-1436.96489696399,97.87735448390247
2,DD34108397148,6,-1436.96489696399,158.8469303580012
3,DD34108397148,8,-1436.96489696399,181.58524552939787
4,DD34108397148,10,-1436.96489696399,189.38774645325745
5,DD34108397148,12,-1436.96489696399,192.88544211596573
6,DD34108397148,14,-1436.96489696399,194.90647191692713
7,DD34108397148,16,-1436.96489696399,196.35017331533587
8,DD34108397148,18,-1436.96489696399,197.74004195852876
9,DD34108397148,20,-1436.96489696399,198.46349604893786
0,DD34108399074,2,-2116.353862140109,-999.0950465336542
1,DD34108399074,4,-2116.353862140109,-836.1864808164431
2,DD34108399074,6,-2116.353862140109,-736.6494446164716
3,DD34108399074,8,-2116.353862140109,-675.1714577625036
4,DD34108399074,10,-2116.353862140109,-640.7183551202494
5,DD34108399074,12,-2116.353862140109,-623.335980730259
6,DD34108399074,14,-2116.353862140109,-611.1721676151526
7,DD34108399074,16,-2116.353862140109,-604.1123621267808
8,DD34108399074,18,-2116.353862140109,-599.184811078753
9,DD34108399074,20,-2116.353862140109,-595.2940073535077
0,DD34108624640,2,-1467.1788567069975,-231.1710353142556
1,DD34108624640,4,-1467.1788567069975,-167.4754426293946
2,DD34108624640,6,-1467.1788567069975,-129.2704900791825
3,DD34108624640,8,-1467.1788567069975,-102.83732442075717
4,DD34108624640,10,-1467.1788567069975,-81.43022399489499
5,DD34108624640,12,-1467.1788567069975,-62.85585187339839
6,DD34108624640,14,-1467.1788567069975,-47.35316449809009
7,DD34108624640,16,-1467.1788567069975,-32.3029702082949
8,DD34108624640,18,-1467.1788567069975,-18.095692381534374
9,DD34108624640,20,-1467.1788567069975,-7.627150328490774
0,DD34108625629,2,-1483.556763810994,-1112.6157277654734
1,DD34108625629,4,-1483.556763810994,-983.3512543176586
2,DD34108625629,6,-1483.556763810994,-908.2085984284795
3,DD34108625629,8,-1483.556763810994,-857.493124212969
4,DD34108625629,10,-1483.556763810994,-823.2599410918353
5,DD34108625629,12,-1483.556763810994,-800.8529258506666
6,DD34108625629,14,-1483.556763810994,-784.8533898633763
7,DD34108625629,16,-1483.556763810994,-772.9713852365759
8,DD34108625629,18,-1483.556763810994,-762.2640195721733
9,DD34108625629,20,-1483.556763810994,-752.6590660179647
0,DD34108625630,2,-1479.841366809006,-246.00564517179566
1,DD34108625630,4,-1479.841366809006,-127.30387532733008
2,DD34108625630,6,-1479.841366809006,-61.09596332369216
3,DD34108625630,8,-1479.841366809006,-25.89258078781986
4,DD34108625630,10,-1479.841366809006,-7.362584928116017
5,DD34108625630,12,-1479.841366809006,3.4891137093834192
6,DD34108625630,14,-1479.841366809006,11.240079087843483
7,DD34108625630,16,-1479.841366809006,15.69405964981365
8,DD34108625630,18,-1479.841366809006,18.44823178750848
9,DD34108625630,20,-1479.841366809006,20.962570291712634
0,DD34108626977,2,-1943.4822492329954,-2002.6542782214246
1,DD34108626977,4,-1943.4822492329954,-1796.511642349375
2,DD34108626977,6,-1943.4822492329954,-1649.7986793823052
3,DD34108626977,8,-1943.4822492329954,-1535.2803263661388
4,DD34108626977,10,-1943.4822492329954,-1442.3767519435942
5,DD34108626977,12,-1943.4822492329954,-1364.0425233291337
6,DD34108626977,14,-1943.4822492329954,-1299.4917499836486
7,DD34108626977,16,-1943.4822492329954,-1246.0553205643741
8,DD34108626977,18,-1943.4822492329954,-1202.0862217737824
9,DD34108626977,20,-1943.4822492329954,-1168.0938071972664
0,DD34108627045,2,-2899.713622453063,-428.8217247710802
1,DD34108627045,4,-2899.713622453063,-216.72234403009665
2,DD34108627045,6,-2899.713622453063,-76.2103437117744
3,DD34108627045,8,-2899.713622453063,13.173482206463165
4,DD34108627045,10,-2899.713622453063,67.71474799603003
5,DD34108627045,12,-2899.713622453063,99.58443616141504
6,DD34108627045,14,-2899.713622453063,118.74225786382418
7,DD34108627045,16,-2899.713622453063,130.90319930523853
8,DD34108627045,18,-2899.713622453063,139.1702579965606
9,DD34108627045,20,-2899.713622453063,146.23854780182867
0,DD34108628335,2,-1557.8307133230123,356.7198557710071
1,DD34108628335,4,-1557.8307133230123,364.99627770949206
2,DD34108628335,6,-1557.8307133230123,366.2557394922188
3,DD34108628335,8,-1557.8307133230123,366.47511512624504
4,DD34108628335,10,-1557.8307133230123,366.85330311628746
5,DD34108628335,12,-1557.8307133230123,367.1239848246941
6,DD34108628335,14,-1557.8307133230123,367.4701466832009
7,DD34108628335,16,-1557.8307133230123,367.7768718256622
8,DD34108628335,18,-1557.8307133230123,367.896012480862
9,DD34108628335,20,-1557.8307133230123,367.8959850744556
0,DD34108744929,2,-2347.2916447300067,-2111.7025803023275
1,DD34108744929,4,-2347.2916447300067,-1880.0912049133785
2,DD34108744929,6,-2347.2916447300067,-1720.880644637887
3,DD34108744929,8,-2347.2916447300067,-1604.7210633447773
4,DD34108744929,10,-2347.2916447300067,-1525.6984520138824
5,DD34108744929,12,-2347.2916447300067,-1476.563220567013
6,DD34108744929,14,-2347.2916447300067,-1443.2724894171338
7,DD34108744929,16,-2347.2916447300067,-1420.0375487134042
8,DD34108744929,18,-2347.2916447300067,-1402.630656812879
9,DD34108744929,20,-2347.2916447300067,-1388.413454971333
0,DD34108747528,2,-1478.0188069639864,-238.71454453630804
1,DD34108747528,4,-1478.0188069639864,-198.66783387709327
2,DD34108747528,6,-1478.0188069639864,-172.6843362873479
3,DD34108747528,8,-1478.0188069639864,-153.3454516496369
4,DD34108747528,10,-1478.0188069639864,-137.14414136513915
5,DD34108747528,12,-1478.0188069639864,-123.44247325806073
6,DD34108747528,14,-1478.0188069639864,-111.85932072666199
7,DD34108747528,16,-1478.0188069639864,-101.36736120555834
8,DD34108747528,18,-1478.0188069639864,-90.80704094675404
9,DD34108747528,20,-1478.0188069639864,-81.22233117541968
0,DD34108848768,2,-1931.3231793220057,122.07874041095585
1,DD34108848768,4,-1931.3231793220057,179.20401637404353
2,DD34108848768,6,-1931.3231793220057,191.08058277207545
3,DD34108848768,8,-1931.3231793220057,195.04516369280844
4,DD34108848768,10,-1931.3231793220057,197.66359102194252
5,DD34108848768,12,-1931.3231793220057,199.30064733202656
6,DD34108848768,14,-1931.3231793220057,201.49666942626374
7,DD34108848768,16,-1931.3231793220057,203.27652709607335
8,DD34108848768,18,-1931.3231793220057,203.83238555325306
9,DD34108848768,20,-1931.3231793220057,204.51757621579557
0,DD44108397240,2,-1255.8610718300004,-418.2676392844729
1,DD44108397240,4,-1255.8610718300004,-293.0075018085991
2,DD44108397240,6,-1255.8610718300004,-219.19262367153604
3,DD44108397240,8,-1255.8610718300004,-178.3074111765969
4,DD44108397240,10,-1255.8610718300004,-153.51887167333433
5,DD44108397240,12,-1255.8610718300004,-136.05116377803384
6,DD44108397240,14,-1255.8610718300004,-123.9747152658553
7,DD44108397240,16,-1255.8610718300004,-116.93007799623177
8,DD44108397240,18,-1255.8610718300004,-112.16000643607165
9,DD44108397240,20,-1255.8610718300004,-108.41005658932649
0,DD44108398872,2,-490.76885840900246,-3398.0457505362992
1,DD44108398872,4,-490.76885840900246,-3210.4798188894833
2,DD44108398872,6,-490.76885840900246,-3050.889846849271
3,DD44108398872,8,-490.76885840900246,-2918.844180352528
4,DD44108398872,10,-490.76885840900246,-2811.5863936054784
5,DD44108398872,12,-490.76885840900246,-2730.990788436259
6,DD44108398872,14,-490.76885840900246,-2670.1053507017205
7,DD44108398872,16,-490.76885840900246,-2623.8626765287595
8,DD44108398872,18,-490.76885840900246,-2591.1257177371094
9,DD44108398872,20,-490.76885840900246,-2565.681527489652
0,DD44108399262,2,-1461.3292302600025,-90.67654971955507
1,DD44108399262,4,-1461.3292302600025,40.20722925750491
2,DD44108399262,6,-1461.3292302600025,107.32305332267995
3,DD44108399262,8,-1461.3292302600025,133.81147087258495
4,DD44108399262,10,-1461.3292302600025,142.46059935932715
5,DD44108399262,12,-1461.3292302600025,147.38314472757963
6,DD44108399262,14,-1461.3292302600025,150.74063619371637
7,DD44108399262,16,-1461.3292302600025,153.52478387934966
8,DD44108399262,18,-1461.3292302600025,155.59429945893189
9,DD44108399262,20,-1461.3292302600025,157.28114301952135
0,DD44108411547,2,-1658.8441229890032,153.95330131376645
1,DD44108411547,4,-1658.8441229890032,234.17029441461318
2,DD44108411547,6,-1658.8441229890032,263.70762101660137
3,DD44108411547,8,-1658.8441229890032,277.766122487219
4,DD44108411547,10,-1658.8441229890032,284.39305214393335
5,DD44108411547,12,-1658.8441229890032,288.82541164066816
6,DD44108411547,14,-1658.8441229890032,292.38156828139773
7,DD44108411547,16,-1658.8441229890032,295.3477673380514
8,DD44108411547,18,-1658.8441229890032,298.24458290712687
9,DD44108411547,20,-1658.8441229890032,300.2315696854439
